"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1301","test_nested_menu[menu_locator2-submenu_locator2-Macs]","","Tue Sep 24 21:09:51 GMT+04:00 2024","passed","Tue Sep 24 21:09:52 GMT+04:00 2024","","test_main","",""
"","1700","test_nested_menu[menu_locator5-submenu_locator5-Monitors]","","Tue Sep 24 21:09:55 GMT+04:00 2024","passed","Tue Sep 24 21:09:56 GMT+04:00 2024","","test_main","",""
"","756","test_footer[button3-header3-Terms & Conditions]","","Tue Sep 24 21:10:08 GMT+04:00 2024","passed","Tue Sep 24 21:10:09 GMT+04:00 2024","","test_main","",""
"","816","test_footer[button13-header13-My Wish List]","","Tue Sep 24 21:10:19 GMT+04:00 2024","passed","Tue Sep 24 21:10:20 GMT+04:00 2024","","test_main","",""
"","839","test_footer[button11-header11-My Account]","","Tue Sep 24 21:10:17 GMT+04:00 2024","passed","Tue Sep 24 21:10:18 GMT+04:00 2024","","test_main","",""
"","2126","test_slider_functionality","","Tue Sep 24 21:09:59 GMT+04:00 2024","passed","Tue Sep 24 21:10:02 GMT+04:00 2024","","test_main","",""
"","793","test_footer[button10-header10-Special Offers]","","Tue Sep 24 21:10:16 GMT+04:00 2024","passed","Tue Sep 24 21:10:17 GMT+04:00 2024","","test_main","",""
"","836","test_footer[button4-header4-Contact Us]","","Tue Sep 24 21:10:09 GMT+04:00 2024","passed","Tue Sep 24 21:10:10 GMT+04:00 2024","","test_main","",""
"","788","test_footer[button12-header12-Order History]","","Tue Sep 24 21:10:18 GMT+04:00 2024","passed","Tue Sep 24 21:10:19 GMT+04:00 2024","","test_main","",""
"","795","test_footer[button2-header2-Privacy Policy]","","Tue Sep 24 21:10:07 GMT+04:00 2024","passed","Tue Sep 24 21:10:08 GMT+04:00 2024","","test_main","",""
"","981","test_footer[button8-header8-Purchase a Gift Certificate]","","Tue Sep 24 21:10:14 GMT+04:00 2024","passed","Tue Sep 24 21:10:15 GMT+04:00 2024","","test_main","",""
"","886","test_footer[button1-header1-Delivery Information]","","Tue Sep 24 21:10:06 GMT+04:00 2024","passed","Tue Sep 24 21:10:07 GMT+04:00 2024","","test_main","",""
"","808","test_add_to_wishlist","","Tue Sep 24 21:10:05 GMT+04:00 2024","passed","Tue Sep 24 21:10:06 GMT+04:00 2024","","test_main","",""
"","759","test_footer[button0-header0-About Us]","","Tue Sep 24 21:10:06 GMT+04:00 2024","passed","Tue Sep 24 21:10:06 GMT+04:00 2024","","test_main","",""
"","1281","test_nested_menu[menu_locator4-submenu_locator4-Mice and Trackballs]","","Tue Sep 24 21:09:53 GMT+04:00 2024","passed","Tue Sep 24 21:09:55 GMT+04:00 2024","","test_main","",""
"","1050","test_footer[button9-header9-My Affiliate Account]","","Tue Sep 24 21:10:15 GMT+04:00 2024","passed","Tue Sep 24 21:10:16 GMT+04:00 2024","","test_main","",""
"","1277","test_nested_menu[menu_locator0-submenu_locator0-PC]","","Tue Sep 24 21:09:48 GMT+04:00 2024","passed","Tue Sep 24 21:09:49 GMT+04:00 2024","","test_main","",""
"","766","test_footer[button14-header14-Newsletter Subscription]","","Tue Sep 24 21:10:20 GMT+04:00 2024","passed","Tue Sep 24 21:10:20 GMT+04:00 2024","","test_main","",""
"","952","test_footer[button6-header6-Site Map]","","Tue Sep 24 21:10:12 GMT+04:00 2024","passed","Tue Sep 24 21:10:13 GMT+04:00 2024","","test_main","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","5830","Test Menu Item Navigation","","Tue Sep 24 21:09:42 GMT+04:00 2024","passed","Tue Sep 24 21:09:48 GMT+04:00 2024","","UI Tests","",""
"","1732","test_nested_menu[menu_locator1-submenu_locator1-Mac]","","Tue Sep 24 21:09:49 GMT+04:00 2024","passed","Tue Sep 24 21:09:51 GMT+04:00 2024","","test_main","",""
"","1286","test_nested_menu[menu_locator3-submenu_locator3-Windows]","","Tue Sep 24 21:09:52 GMT+04:00 2024","passed","Tue Sep 24 21:09:53 GMT+04:00 2024","","test_main","",""
"","877","test_footer[button7-header7-Find Your Favorite Brand]","","Tue Sep 24 21:10:13 GMT+04:00 2024","passed","Tue Sep 24 21:10:14 GMT+04:00 2024","","test_main","",""
"","1454","test_add_to_cart","","Tue Sep 24 21:09:58 GMT+04:00 2024","passed","Tue Sep 24 21:09:59 GMT+04:00 2024","","test_main","",""
"","2761","test_footer[button5-header5-Product Returns]","","Tue Sep 24 21:10:10 GMT+04:00 2024","passed","Tue Sep 24 21:10:12 GMT+04:00 2024","","test_main","",""
"","1666","test_search_product","","Tue Sep 24 21:09:56 GMT+04:00 2024","passed","Tue Sep 24 21:09:58 GMT+04:00 2024","","test_main","",""
